lambda_NIO,lambda_ann_pct,N,T,T/N,trial,t_oracle,t_ols,t_lasso
0.001,3.1749015732775088,50,500,10.0,7,-0.8355408881886458,,-3.8844486875183213
0.001,3.1749015732775088,50,500,10.0,8,-0.9346939744204729,,0.6346076474420562
0.001,3.1749015732775088,50,500,10.0,9,-0.6113649345728082,,-0.09210557041241926
0.001,3.1749015732775088,50,500,10.0,10,0.11002930095303136,,0.12472225098631154
0.001,3.1749015732775088,50,500,10.0,11,-0.05078222085830522,,0.2529334212806456
0.001,3.1749015732775088,50,500,10.0,12,-1.110493598176918,,1.6832244787864608
0.001,3.1749015732775088,50,500,10.0,13,-0.04031842275010555,,0.3812215038731998
0.001,3.1749015732775088,50,500,10.0,14,-0.9993631705269334,,1.8442779098133537
0.001,3.1749015732775088,50,500,10.0,15,-1.6174680848173648,,1.162783837500977
0.001,3.1749015732775088,50,500,10.0,16,0.08904586265615497,,-0.21317651084625172
0.001,3.1749015732775088,50,500,10.0,17,-0.2766745807863367,,-0.38956563211011114
0.001,3.1749015732775088,50,500,10.0,18,1.7355429789864663,,2.2263132778615704
0.001,3.1749015732775088,50,500,10.0,19,0.35773214703424133,,1.7174848382458052
0.001,3.1749015732775088,50,500,10.0,20,0.57410117247743,,-0.5349079766749644
0.001,3.1749015732775088,50,500,10.0,21,0.5820261130291956,,1.1039595184717255
0.001,3.1749015732775088,50,500,10.0,22,2.06884775125183,,2.9074133033842875
0.001,3.1749015732775088,50,500,10.0,23,0.4420135131115451,,2.8878341664487026
0.001,3.1749015732775088,50,500,10.0,24,-1.4788761424206958,,1.3504803951526019
0.001,3.1749015732775088,50,500,10.0,25,-1.8440000880413978,,-0.17243050842296154
0.001,3.1749015732775088,50,500,10.0,26,1.7571905115309412,,-0.2874294338787924
0.001,3.1749015732775088,50,500,10.0,27,-0.16871188185565847,,-1.1438506742325731
0.001,3.1749015732775088,50,500,10.0,28,-1.0568779950905456,,5.2293710909549675
0.001,3.1749015732775088,50,500,10.0,29,-1.0612869526065711,,-1.0648344586028058
0.001,3.1749015732775088,50,500,10.0,30,2.258911850240417,,2.4532129169941683
0.001,3.1749015732775088,50,500,10.0,31,1.420358347911651,,1.4972311944362613
0.001,3.1749015732775088,50,500,10.0,32,-1.0407484500544,,-2.573193265340705
0.001,3.1749015732775088,50,500,10.0,33,1.8820144627106443,,1.5247764676448545
0.001,3.1749015732775088,50,500,10.0,34,-1.050948400498277,,0.7640085238202667
0.001,3.1749015732775088,50,500,10.0,35,-0.2546720607511981,,1.358595609978514
0.001,3.1749015732775088,50,500,10.0,36,0.7352457834153923,,2.178286275356016
0.001,3.1749015732775088,50,500,10.0,37,-1.3276094938400438,,-2.955763525105856
0.001,3.1749015732775088,50,500,10.0,38,1.0951036161234873,,1.6455196755357444
0.001,3.1749015732775088,50,500,10.0,39,0.5184624094133068,,-1.6391941585241208
0.001,3.1749015732775088,50,500,10.0,40,0.021974226032533368,,-0.3767821413891547
0.001,3.1749015732775088,50,500,10.0,41,0.28088314809581383,,-1.4670170086887913
0.001,3.1749015732775088,50,500,10.0,42,0.8491463216128513,,0.644075922166374
0.001,3.1749015732775088,50,500,10.0,43,1.520805702279547,,1.2625781527264737
0.001,3.1749015732775088,50,500,10.0,44,-0.10404597624405414,,2.036721558390704
0.001,3.1749015732775088,50,500,10.0,45,-0.7780916013026064,,-0.3492498083384222
0.001,3.1749015732775088,50,500,10.0,46,1.0261135630971108,,-0.8177991421420033
0.001,3.1749015732775088,50,500,10.0,47,-1.0956187869751852,,-1.2790486719684893
0.001,3.1749015732775088,50,500,10.0,48,0.46075357259705263,,-0.06604301931914511
0.001,3.1749015732775088,50,500,10.0,49,1.7153861531226606,,1.394783119225465
0.003,9.524704719832528,50,100,2.0,0,3.6673636135309127,,-2.9916463038575047
0.003,9.524704719832528,50,100,2.0,1,3.7480794528840233,,-1.0501944959955651
0.003,9.524704719832528,50,100,2.0,2,7.8634741013582925,,-0.9281874023933087
0.003,9.524704719832528,50,100,2.0,3,4.362879076291554,,0.5305267026721611
0.003,9.524704719832528,50,100,2.0,4,5.588230957512752,,1.6459037596382904
0.003,9.524704719832528,50,100,2.0,5,9.527016019560838,,-1.1240325735330106
0.003,9.524704719832528,50,100,2.0,6,3.9772396721731393,,1.0351553965228721
0.003,9.524704719832528,50,100,2.0,7,11.0439148490497,,-0.12520483749282635
0.003,9.524704719832528,50,100,2.0,8,2.3818802463064404,,-3.5692238465317097
0.003,9.524704719832528,50,100,2.0,9,8.587345355992982,,0.5210155089199241
0.003,9.524704719832528,50,100,2.0,10,3.0252003657460094,,-2.351039562215921
0.003,9.524704719832528,50,100,2.0,11,3.8051742513050923,,0.07617187658312637
0.003,9.524704719832528,50,100,2.0,12,4.298312246128022,,-3.007503998016599
0.003,9.524704719832528,50,100,2.0,13,6.052524940529287,,2.8693059597607364
0.003,9.524704719832528,50,100,2.0,14,6.171473982639366,,3.3819106274938693
0.003,9.524704719832528,50,100,2.0,15,5.710810857723142,,0.5783879151114847
0.003,9.524704719832528,50,100,2.0,16,6.542709034171575,,-0.4167189319607413
0.003,9.524704719832528,50,100,2.0,17,1.0877639089660838,,2.9948594822903756
0.003,9.524704719832528,50,100,2.0,18,3.8468843272680466,,-3.4069288775392716
0.003,9.524704719832528,50,100,2.0,19,7.290197493937421,,2.27270180949372
0.003,9.524704719832528,50,100,2.0,20,6.309945888758847,,-1.0438386039963383
0.003,9.524704719832528,50,100,2.0,21,4.921044178895526,,-0.7630590363791112
0.003,9.524704719832528,50,100,2.0,22,6.542928503905476,,3.054623331670126
0.003,9.524704719832528,50,100,2.0,23,4.634089920268467,,0.4671384480603425
0.003,9.524704719832528,50,100,2.0,24,3.743793868248446,,-0.7072553847635287
0.003,9.524704719832528,50,100,2.0,25,7.449719416052014,,0.3832479523855844
0.003,9.524704719832528,50,100,2.0,26,2.9083022855489564,,-2.9684088502703494
0.003,9.524704719832528,50,100,2.0,27,8.975715568638721,,1.4970995674784189
0.003,9.524704719832528,50,100,2.0,28,8.576153498707747,,-1.020831885940193
0.003,9.524704719832528,50,100,2.0,29,5.786019930783327,,-0.45777802265359785
0.003,9.524704719832528,50,100,2.0,30,5.942892309268435,,1.2947275366205053
0.003,9.524704719832528,50,100,2.0,31,6.868592829236106,,1.304073167912067
0.003,9.524704719832528,50,100,2.0,32,5.083705345355862,,0.5735544945980927
0.003,9.524704719832528,50,100,2.0,33,3.4689462111552323,,4.040209473348181
0.003,9.524704719832528,50,100,2.0,34,6.528309542789096,,2.1207621270388057
0.003,9.524704719832528,50,100,2.0,35,3.459688159908909,,-2.0959013327667084
0.003,9.524704719832528,50,100,2.0,36,7.111347694783255,,1.4646457205998609
0.003,9.524704719832528,50,100,2.0,37,6.550978049729629,,0.4493870318707322
0.003,9.524704719832528,50,100,2.0,38,9.166002675659609,,1.5129363011700434
0.003,9.524704719832528,50,100,2.0,39,5.191488268179857,,-1.731108286895035
0.003,9.524704719832528,50,100,2.0,40,7.581852508272681,,1.2691085379625546
0.003,9.524704719832528,50,100,2.0,41,5.279390360821473,,0.5760064344177079
0.003,9.524704719832528,50,100,2.0,42,2.1710597550398116,,-0.18252100048256797
0.003,9.524704719832528,50,100,2.0,43,10.103752596517,,-0.007256332870655343
0.003,9.524704719832528,50,100,2.0,44,4.342750555385368,,-2.363458276311073
0.003,9.524704719832528,50,100,2.0,45,7.231463627252457,,0.49464185820077144
0.003,9.524704719832528,50,100,2.0,46,6.5080784517505545,,2.0516906099813883
0.003,9.524704719832528,50,100,2.0,47,5.484223237752031,,0.6467839655830966
0.003,9.524704719832528,50,100,2.0,48,3.094982896552593,,3.7412023203972886
0.003,9.524704719832528,50,100,2.0,49,7.367884341551876,,-0.38951518140635727
0.003,9.524704719832528,50,250,5.0,0,3.0970028897405313,,-0.8265597264328389
0.003,9.524704719832528,50,250,5.0,1,2.4134565746505827,,0.5174344885097387
0.003,9.524704719832528,50,250,5.0,2,2.8193003928148475,,0.7450922833989436
0.003,9.524704719832528,50,250,5.0,3,4.015002381364796,,-0.5486218977440916
0.003,9.524704719832528,50,250,5.0,4,2.66690135014497,,3.1694540451859683
0.003,9.524704719832528,50,250,5.0,5,2.094726647712383,,-0.9860490357815205
0.003,9.524704719832528,50,250,5.0,6,3.028927746292667,,2.987354412227592
0.003,9.524704719832528,50,250,5.0,7,3.9633575406901045,,3.4221255668368085
0.003,9.524704719832528,50,250,5.0,8,0.4217357664111959,,3.164676799637263
0.003,9.524704719832528,50,250,5.0,9,5.6593299175380665,,1.6533015102991895
0.003,9.524704719832528,50,250,5.0,10,2.9620541309661923,,-0.7966885100014849
0.003,9.524704719832528,50,250,5.0,11,1.9716729245822275,,2.7070475701889998
0.003,9.524704719832528,50,250,5.0,12,1.8003092139110628,,-0.9719034803102793
0.003,9.524704719832528,50,250,5.0,13,2.7959236716428273,,0.8166499446616997
0.003,9.524704719832528,50,250,5.0,14,1.1381891876126728,,-1.270498248477815
0.003,9.524704719832528,50,250,5.0,15,3.6728486660713577,,-0.7953220949583268
0.003,9.524704719832528,50,250,5.0,16,4.893914027500042,,2.0118057606488864
0.003,9.524704719832528,50,250,5.0,17,1.9423580235120068,,-0.07684550122199932
0.003,9.524704719832528,50,250,5.0,18,5.155684800653471,,2.2703445607541437
0.003,9.524704719832528,50,250,5.0,19,0.4171249978456958,,-0.897192960557212
0.003,9.524704719832528,50,250,5.0,20,1.73182434344183,,0.33849049746124854
0.003,9.524704719832528,50,250,5.0,21,5.693401234051147,,0.18572643160899055
0.003,9.524704719832528,50,250,5.0,22,2.6379316211623656,,3.3427810611797395
0.003,9.524704719832528,50,250,5.0,23,1.8669149754578855,,1.5330390069230266
0.003,9.524704719832528,50,250,5.0,24,-1.2538661813719103,,-2.1909980067101356
0.003,9.524704719832528,50,250,5.0,25,4.361676681747701,,0.5693481367486526
0.003,9.524704719832528,50,250,5.0,26,1.894546937287957,,-0.6223206261197038
0.003,9.524704719832528,50,250,5.0,27,2.5311130800435055,,1.2540228806528382
0.003,9.524704719832528,50,250,5.0,28,2.6942107441241636,,0.9181461364560439
0.003,9.524704719832528,50,250,5.0,29,2.5141859218275058,,2.5846713305556213
0.003,9.524704719832528,50,250,5.0,30,1.7948419052825624,,3.283525677223759
0.003,9.524704719832528,50,250,5.0,31,2.63636506497807,,-0.1008616626452938
0.003,9.524704719832528,50,250,5.0,32,3.336925679142815,,0.6547771381652485
0.003,9.524704719832528,50,250,5.0,33,4.311432435121879,,1.2538425967188527
0.003,9.524704719832528,50,250,5.0,34,2.820028276492124,,-1.3138963568944575
0.003,9.524704719832528,50,250,5.0,35,3.1350021611636842,,-1.0700932409111366
0.003,9.524704719832528,50,250,5.0,36,1.1878827748855059,,0.9375168952199718
0.003,9.524704719832528,50,250,5.0,37,1.2748985678894624,,-3.050019088035007
0.003,9.524704719832528,50,250,5.0,38,1.9571944613578818,,1.8819969793464018
0.003,9.524704719832528,50,250,5.0,39,3.264098792801276,,0.7509744726864033
0.003,9.524704719832528,50,250,5.0,40,0.9472873329968509,,-0.399015485540847
0.003,9.524704719832528,50,250,5.0,41,0.9926045482846451,,0.7176039381362369
0.003,9.524704719832528,50,250,5.0,42,1.9733746844045645,,1.7921706380718343
0.003,9.524704719832528,50,250,5.0,43,4.02683300842682,,2.3627529274172585
0.003,9.524704719832528,50,250,5.0,44,1.6012640055200107,,1.5455327464906707
0.003,9.524704719832528,50,250,5.0,45,5.62654675384162,,-0.35114527794593287
0.003,9.524704719832528,50,250,5.0,46,3.7882414157320725,,1.4692808266249808
0.003,9.524704719832528,50,250,5.0,47,2.4242837862774853,,-0.19216044807213137
0.003,9.524704719832528,50,250,5.0,48,1.2998564096583465,,3.5329073698633082
0.003,9.524704719832528,50,250,5.0,49,4.100960048873683,,-0.8083158711991935
0.003,9.524704719832528,50,500,10.0,0,-0.14543071747452815,,1.165510252249314
0.003,9.524704719832528,50,500,10.0,1,1.7890656711945854,,-0.9362785869921
0.003,9.524704719832528,50,500,10.0,2,-0.055817761633330645,,0.4805130213504003
0.003,9.524704719832528,50,500,10.0,3,0.3236415893417399,,0.7215199868329921
0.003,9.524704719832528,50,500,10.0,4,0.7671033951792847,,0.19354909104172183
0.003,9.524704719832528,50,500,10.0,5,0.8169799056996717,,0.3571947384205826
0.003,9.524704719832528,50,500,10.0,6,0.5546605836541562,,-0.274547992949578
0.003,9.524704719832528,50,500,10.0,7,-0.5153183770537314,,-3.8554530548574446
0.003,9.524704719832528,50,500,10.0,8,-0.9112467745867872,,0.6437028243890945
0.003,9.524704719832528,50,500,10.0,9,-0.48810312518603094,,-0.0444616046837626
0.003,9.524704719832528,50,500,10.0,10,0.32442272706466047,,0.19714421830382253
0.003,9.524704719832528,50,500,10.0,11,0.45967959752199516,,0.36494093196496724
